team1_wins,team1_encoded,team2_encoded,team1_won_toss,toss_field,toss_decision_encoded,is_playoff,is_super_over,team1_win_rate,team2_win_rate,win_rate_diff,venue_match_count
Team1_Wins,3,2,0,0,0,0,0,0.46,0.387,0.073,59
Team1_Wins,1,10,0,1,1,0,0,0.582,0.267,0.315,48
Team2_Wins,11,14,0,1,1,0,0,0.455,0.488,-0.033,35
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team2_Wins,3,10,1,1,1,0,0,0.46,0.267,0.193,59
Team2_Wins,9,11,1,0,0,0,0,0.552,0.455,0.097,73
Team2_Wins,2,7,0,1,1,0,0,0.387,0.522,-0.135,7
Team2_Wins,12,14,1,1,1,0,0,0.511,0.488,0.023,47
Team2_Wins,10,3,1,0,0,0,0,0.267,0.46,-0.193,16
Team2_Wins,11,9,1,0,0,0,0,0.455,0.552,-0.097,35
Team2_Wins,10,2,0,0,0,0,0,0.267,0.387,-0.12,16
Team1_Wins,3,9,0,1,1,0,0,0.46,0.552,-0.092,59
Team2_Wins,1,11,0,0,0,0,0,0.582,0.455,0.127,48
Team1_Wins,7,14,1,0,0,0,0,0.522,0.488,0.034,77
Team1_Wins,3,12,1,0,0,0,0,0.46,0.511,-0.051,59
Team1_Wins,9,2,1,1,1,0,0,0.552,0.387,0.165,73
Team2_Wins,1,7,1,0,0,0,0,0.582,0.522,0.06,48
Team1_Wins,2,10,1,0,0,0,0,0.387,0.267,0.12,7
Team2_Wins,12,3,1,0,0,0,0,0.511,0.46,0.051,47
Team2_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team2_Wins,10,9,0,0,0,0,0,0.267,0.552,-0.285,16
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,48
Team1_Wins,7,10,1,0,0,0,0,0.522,0.267,0.255,77
Team2_Wins,11,12,0,0,0,0,0,0.455,0.511,-0.056,35
Team1_Wins,9,1,1,1,1,0,0,0.552,0.582,-0.03,73
Team1_Wins,14,2,1,1,1,0,0,0.488,0.387,0.101,63
Team2_Wins,3,7,1,0,0,0,0,0.46,0.522,-0.062,59
Team2_Wins,10,12,1,0,0,0,0,0.267,0.511,-0.244,16
Team2_Wins,2,11,1,1,1,0,0,0.387,0.455,-0.068,49
Team2_Wins,9,14,0,1,1,0,0,0.552,0.488,0.064,73
Team2_Wins,2,3,1,0,0,0,0,0.387,0.46,-0.073,49
Team2_Wins,12,1,0,1,1,0,0,0.511,0.582,-0.071,47
Team2_Wins,10,14,1,1,1,0,0,0.267,0.488,-0.221,16
Team2_Wins,7,9,0,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,1,3,1,1,1,0,0,0.582,0.46,0.122,48
Team1_Wins,12,10,1,0,0,0,0,0.511,0.267,0.244,47
Team1_Wins,11,2,0,0,0,0,0,0.455,0.387,0.068,35
Team2_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team2_Wins,7,1,0,1,1,0,0,0.522,0.582,-0.06,77
Team1_Wins,3,11,0,0,0,0,0,0.46,0.455,0.005,59
Team2_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team1_Wins,11,1,1,1,1,0,0,0.455,0.582,-0.127,9
Team2_Wins,3,14,1,1,1,0,0,0.46,0.488,-0.028,59
Team1_Wins,2,12,0,0,0,0,0,0.387,0.511,-0.124,49
Team2_Wins,11,3,0,1,1,0,0,0.455,0.46,-0.005,9
Team2_Wins,10,7,0,0,0,0,0,0.267,0.522,-0.255,16
Team1_Wins,2,14,0,1,1,0,0,0.387,0.488,-0.101,49
Team2_Wins,12,9,1,0,0,0,0,0.511,0.552,-0.041,47
Team2_Wins,3,7,0,0,0,1,0,0.46,0.522,-0.062,16
Team1_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,63
Team2_Wins,3,1,1,1,1,1,0,0.46,0.582,-0.122,48
Team1_Wins,7,1,0,0,0,1,0,0.522,0.582,-0.06,48
Team1_Wins,7,3,1,1,1,0,0,0.522,0.46,0.062,77
Team1_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team1_Wins,15,10,0,1,1,0,0,0.484,0.267,0.217,49
Team2_Wins,3,12,0,0,0,0,0,0.46,0.511,-0.051,59
Team2_Wins,1,9,0,0,0,0,0,0.582,0.552,0.03,48
Team2_Wins,10,11,1,0,0,0,0,0.267,0.455,-0.188,16
Team1_Wins,15,14,0,0,0,0,1,0.484,0.488,-0.004,49
Team1_Wins,12,7,0,1,1,0,0,0.511,0.522,-0.011,47
Team1_Wins,9,3,1,0,0,0,0,0.552,0.46,0.092,73
Team1_Wins,14,15,0,0,0,0,0,0.488,0.484,0.004,63
Team2_Wins,11,1,0,1,1,0,0,0.455,0.582,-0.127,35
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team1_Wins,10,12,0,0,0,0,0,0.267,0.511,-0.244,16
Team2_Wins,3,15,1,0,0,0,0,0.46,0.484,-0.024,59
Team1_Wins,9,10,1,0,0,0,0,0.552,0.267,0.285,73
Team1_Wins,1,14,1,1,1,0,0,0.582,0.488,0.094,48
Team1_Wins,7,15,1,0,0,0,0,0.522,0.484,0.038,77
Team1_Wins,12,11,1,1,1,0,0,0.511,0.455,0.056,47
Team2_Wins,1,10,0,0,0,0,0,0.582,0.267,0.315,48
Team1_Wins,11,7,0,1,1,0,0,0.455,0.522,-0.067,35
Team1_Wins,14,3,1,1,1,0,1,0.488,0.46,0.028,63
Team2_Wins,10,15,1,1,1,0,0,0.267,0.484,-0.217,22
Team1_Wins,12,9,1,0,0,0,0,0.511,0.552,-0.041,47
Team2_Wins,3,1,0,0,0,0,0,0.46,0.582,-0.122,59
